 8243 8239 8244 8254  60.0 2.5
 8239 8244 8254 8258 -60.0 2.5
 8244 8254 8258 8241  60.0 2.5
 8254 8258 8241 8243 -60.0 2.5
 8258 8241 8243 8239  60.0 2.5
 8241 8243 8239 8244 -60.0 2.5
 8271 8267 8272 8282  60.0 2.5
 8267 8272 8282 8286 -60.0 2.5
 8272 8282 8286 8269  60.0 2.5
 8282 8286 8269 8271 -60.0 2.5
 8286 8269 8271 8267  60.0 2.5
 8269 8271 8267 8272 -60.0 2.5
 8299 8295 8300 8310  60.0 2.5
 8295 8300 8310 8314 -60.0 2.5
 8300 8310 8314 8297  60.0 2.5
 8310 8314 8297 8299 -60.0 2.5
 8314 8297 8299 8295  60.0 2.5
 8297 8299 8295 8300 -60.0 2.5
 8327 8323 8328 8338  60.0 2.5
 8323 8328 8338 8342 -60.0 2.5
 8328 8338 8342 8325  60.0 2.5
 8338 8342 8325 8327 -60.0 2.5
 8342 8325 8327 8323  60.0 2.5
 8325 8327 8323 8328 -60.0 2.5
 8355 8351 8356 8366  60.0 2.5
 8351 8356 8366 8370 -60.0 2.5
 8356 8366 8370 8353  60.0 2.5
 8366 8370 8353 8355 -60.0 2.5
 8370 8353 8355 8351  60.0 2.5
 8353 8355 8351 8356 -60.0 2.5
 8383 8379 8384 8394  60.0 2.5
 8379 8384 8394 8398 -60.0 2.5
 8384 8394 8398 8381  60.0 2.5
 8394 8398 8381 8383 -60.0 2.5
 8398 8381 8383 8379  60.0 2.5
 8381 8383 8379 8384 -60.0 2.5
